,priceInTime
0,0.18260270799016412
1,0.5542508302593833
2,0.2047929602978954
3,0.33143475819367013
4,0.27235031360861794
5,0.1155179348550551
6,0.37854155085755786
7,-0.07445529972820848
8,0.24827434636102388
9,0.5623281805109649
10,-0.14344281369315134
11,0.3738855540252012
12,0.12289521780098694
13,-0.2814162294402695
14,-0.030500042047849413
15,0.03428884763658306
16,0.22615481683621588
17,0.20418276129594035
18,0.1575880428065895
19,-0.23728086637040646
20,-0.17960199471257257
21,0.022234165073182422
22,0.22742604805037134
23,0.28644069858723514
24,0.035764854810297245
25,0.29804168754360383
26,-0.44148526302476854
27,0.42209987719391273
28,0.404596414797435
29,0.10748025372650157
30,0.14536960955809808
31,0.22143221165177235
32,0.34990442967394764
33,0.03337223323811024
34,0.09505673341113141
35,0.16937963028142472
36,0.5832933706446957
37,0.014996003063073316
38,0.15960387403230616
39,-0.37900982806838185
